DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag]
1.0,21.30020491,3.9899999999999994e-05,-3.9899999999999994e-05,189.70595,0.0015,-0.0015,0.075,0.309,-0.075,4.0852,0.0474,-0.0474,660.0,12.2,-12.2,2.99,0.47,-0.28,725.0,65.37,27.07,-14.54,58.1,1.0,6008.0,77.0,-83.0,4.35,0.076,-0.12300000000000001,1.168,0.18600000000000003,-0.109,289.50067,51.68573,14.02
0.8809999999999999,289.864067,0.00121,-0.00121,133.69718999999998,0.00214,-0.00214,0.856,0.043,-0.649,7.565,0.10800000000000001,-0.10800000000000001,529.0,10.5,-10.5,2.34,0.22,-0.23,257.0,1.03,0.26,-0.24,57.4,1.0,5516.0,82.0,-74.0,4.446000000000001,0.10400000000000001,-0.064,0.8859999999999999,0.08,-0.08900000000000001,289.2175,47.88446,11.664000000000001
0.0,10.29767658,3.3e-05,-3.3e-05,131.73373999999998,0.00294,-0.00294,1.194,15.05,-0.126,6.649,0.129,-0.129,656.0,13.1,-13.1,39.14,5.69,-8.55,1022.0,258.09,99.1,-108.66,57.0,1.0,5671.0,76.0,-76.0,4.075,0.18899999999999997,-0.081,1.608,0.23399999999999999,-0.35100000000000003,289.79907000000003,38.555061,14.565
1.0,51.067435499999995,0.00035,-0.00035,147.60941,0.0057,-0.0057,0.48200000000000004,0.47200000000000003,-0.27399999999999997,4.374,0.16899999999999998,-0.16899999999999998,598.0,34.3,-34.3,2.44,0.76,-0.25,499.0,14.69,13.66,-4.37,18.7,3.0,6004.0,181.0,-199.0,4.484,0.052000000000000005,-0.20800000000000002,0.977,0.302,-0.10099999999999999,294.98913999999996,46.838328999999995,14.957
1.0,1.6826959380000002,1.25e-06,-1.25e-06,170.453117,0.000599,-0.000599,0.025,0.419,-0.025,1.3867,0.023,-0.023,704.0,11.2,-11.2,1.23,0.1,-0.14,750.0,74.7,20.84,-21.01,75.4,1.0,3669.0,73.0,-91.0,4.787,0.054000000000000006,-0.040999999999999995,0.47,0.040999999999999995,-0.051,283.74069,47.516289,14.818
1.0,17.30795548,5.550000000000001e-05,-5.550000000000001e-05,176.94326,0.00236,-0.00236,0.0,0.42200000000000004,0.0,5.1126,0.0763,-0.0763,633.0,14.2,-14.2,3.56,0.57,-0.78,815.0,104.37,44.41,-43.66,46.4,1.0,5565.0,83.0,-66.0,4.117,0.201,-0.09300000000000001,1.439,0.22899999999999998,-0.315,291.97144,47.86417,14.915
1.0,10.42367744,7.17e-06,-7.17e-06,138.009041,0.000584,-0.000584,0.005,0.299,-0.005,5.2257,0.021,-0.021,777.0,4.1,-4.1,3.72,0.67,-0.56,1012.0,247.48,124.16,-83.6,204.4,3.0,6181.0,111.0,-135.0,4.234,0.14300000000000002,-0.11699999999999999,1.331,0.243,-0.19899999999999998,297.33307,41.891121000000005,12.205
1.0,2.09227115,5.81e-06,-5.81e-06,133.06258,0.00217,-0.00217,0.271,0.184,-0.271,2.4062,0.0716,-0.0716,208.0,7.9,-7.9,2.06,0.33,-0.45,1648.0,1746.66,743.33,-730.66,30.0,2.0,5565.0,83.0,-66.0,4.117,0.201,-0.09300000000000001,1.439,0.22899999999999998,-0.315,291.97144,47.86417,14.915
0.982,45.29422297,5.6000000000000006e-05,-5.6000000000000006e-05,138.678725,0.000987,-0.000987,0.025,0.33299999999999996,-0.025,6.83,0.0343,-0.0343,477.0,3.7,-3.7,2.26,0.12,-0.09,524.0,17.75,3.21,-2.17,134.8,1.0,5676.0,85.0,-68.0,4.3469999999999995,0.03,-0.03,1.044,0.057,-0.042,285.67938,50.241299,10.960999999999999
1.0,16.70920628,3.6200000000000006e-05,-3.6200000000000006e-05,174.75417,0.0017699999999999999,-0.0017699999999999999,0.855,0.086,-0.5760000000000001,2.7052,0.0725,-0.0725,840.0,23.1,-23.1,2.27,0.18,-0.2,500.0,14.73,4.4,-3.88,40.4,1.0,4621.0,124.0,-137.0,4.605,0.052000000000000005,-0.027999999999999997,0.6679999999999999,0.054000000000000006,-0.059000000000000004,284.03222999999997,39.78133,14.427
